Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.8845134,4971,1671120606,518673603,,[]
1671120606.8846195,4972,1671120606,718684378,,[]
1671120606.918748,4973,1671120606,918674502,,[]
1671120607.11876,4974,1671120607,118676294,,[]
1671120607.3187892,4975,1671120607,318684334,,[]
1671120607.518768,4976,1671120607,518675703,,[]
1671120607.718829,4977,1671120607,718729097,,[]
1671120607.9188466,4978,1671120607,918717044,,[]
1671120608.1187575,4979,1671120608,118683632,,[]
1671120608.3188715,4980,1671120608,318727434,,[]
1671120608.5187862,4981,1671120608,518678506,,[]
1671120608.7188354,4982,1671120608,718710697,,[]
1671120608.9188151,4983,1671120608,918681936,,[]
1671120609.1187644,4984,1671120609,118684884,,[]
1671120609.3187754,4985,1671120609,318674883,,[]
1671120609.5187452,4986,1671120609,518675492,,[]
1671120609.7187753,4987,1671120609,718679400,,[]
1671120609.918802,4988,1671120609,918717800,,[]
1671120610.1188312,4989,1671120610,118723362,,[]
1671120610.3187602,4990,1671120610,318676974,,[]
1671120610.5188851,4991,1671120610,518712389,,[]
1671120610.7187963,4992,1671120610,718695120,,[]
1671120610.9188344,4993,1671120610,918712325,,[]
1671120611.1188118,4994,1671120611,118685998,,[]
1671120611.318852,4995,1671120611,318707919,,[]
1671120611.5187707,4996,1671120611,518682978,,[]
1671120611.7188673,4997,1671120611,718744754,,[]
1671120611.9188342,4998,1671120611,918705477,,[]
1671120612.1187773,4999,1671120612,118698098,,[]
1671120612.3188038,5000,1671120612,318682220,,[]
1671120612.5187612,5001,1671120612,518681531,,[]
1671120612.7187812,5002,1671120612,718701103,,[]
1671120612.9188547,5003,1671120612,918706520,,[]
1671120613.1188035,5004,1671120613,118692156,,[]
1671120613.3187926,5005,1671120613,318683978,,[]
1671120613.5187922,5006,1671120613,518714042,,[]
1671120613.718816,5007,1671120613,718687855,,[]
1671120613.9188108,5008,1671120613,918698851,,[]
1671120614.1187792,5009,1671120614,118677687,,[]
1671120614.3188381,5010,1671120614,318732122,,[]
1671120614.5187764,5011,1671120614,518676517,,[]
1671120614.7187984,5012,1671120614,718714774,,[]
1671120614.918905,5013,1671120614,918702158,,[]
1671120615.1187482,5014,1671120615,118675898,,[]
1671120615.3188498,5015,1671120615,318701364,,[]
1671120615.518792,5016,1671120615,518698758,,[]
1671120615.718821,5017,1671120615,718705189,,[]
1671120615.9187796,5018,1671120615,918701590,,[]
1671120616.1187963,5019,1671120616,118701699,,[]
1671120616.3187647,5020,1671120616,318680863,,[]
1671120616.5187728,5021,1671120616,518678259,,[]
1671120616.7187495,5022,1671120616,718676392,,[]
1671120616.9187942,5023,1671120616,918682014,,[]
1671120617.1187997,5024,1671120617,118699606,,[]
1671120617.3187597,5025,1671120617,318677574,,[]
1671120617.51878,5026,1671120617,518677402,,[]
1671120617.718829,5027,1671120617,718727345,,[]
1671120617.918788,5028,1671120617,918705535,,[]
1671120618.1187792,5029,1671120618,118704753,,[]
1671120618.3188412,5030,1671120618,318733949,,[]
1671120618.5188398,5031,1671120618,518703784,,[]
1671120618.718768,5032,1671120618,718681240,,[]
1671120618.9187603,5033,1671120618,918680435,,[]
1671120619.1187434,5034,1671120619,118674958,,[]
1671120619.3187888,5035,1671120619,318681441,,[]
1671120619.518758,5036,1671120619,518678525,,[]
