Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.8842673,364,1671120606,345418569,,[]
1671120606.884452,365,1671120606,545420173,,[]
1671120606.8846622,366,1671120606,745417325,,[]
1671120606.947108,367,1671120606,945417754,,[]
1671120607.1470573,368,1671120607,145415321,,[]
1671120607.3471203,369,1671120607,345415673,,[]
1671120607.547154,370,1671120607,545415752,,[]
1671120607.7471037,371,1671120607,745416406,,[]
1671120607.9471424,372,1671120607,945417272,,[]
1671120608.1471496,373,1671120608,145418271,,[]
1671120608.3471024,374,1671120608,345414814,,[]
1671120608.54712,375,1671120608,545416247,,[]
1671120608.7470458,376,1671120608,745415656,,[]
1671120608.9470582,377,1671120608,945416594,,[]
1671120609.1471043,378,1671120609,145415416,,[]
1671120609.3471596,379,1671120609,345416131,,[]
1671120609.5471857,380,1671120609,545416159,,[]
1671120609.7471197,381,1671120609,745416067,,[]
1671120609.9471164,382,1671120609,945416752,,[]
1671120610.1471126,383,1671120610,145419038,,[]
1671120610.3471007,384,1671120610,345416381,,[]
1671120610.547117,385,1671120610,545418302,,[]
1671120610.7470796,386,1671120610,745414490,,[]
1671120610.947413,387,1671120610,945631032,,[]
1671120611.1470938,388,1671120611,145415980,,[]
1671120611.347136,389,1671120611,345416276,,[]
1671120611.5470846,390,1671120611,545377446,,[]
1671120611.7471402,391,1671120611,745414755,,[]
1671120611.9471095,392,1671120611,945415268,,[]
1671120612.147143,393,1671120612,145422886,,[]
1671120612.347133,394,1671120612,345420154,,[]
1671120612.5470963,395,1671120612,545415605,,[]
1671120612.7471426,396,1671120612,745417008,,[]
1671120612.9471145,397,1671120612,945415949,,[]
1671120613.147121,398,1671120613,145415803,,[]
1671120613.3471136,399,1671120613,345416257,,[]
1671120613.5471015,400,1671120613,545415591,,[]
1671120613.7471156,401,1671120613,745415659,,[]
1671120613.9471579,402,1671120613,945413692,,[]
1671120614.1471004,403,1671120614,145416450,,[]
1671120614.3472195,404,1671120614,345419526,,[]
1671120614.5471754,405,1671120614,545415023,,[]
1671120614.7471313,406,1671120614,745415217,,[]
1671120614.9471326,407,1671120614,945414503,,[]
1671120615.1471586,408,1671120615,145416913,,[]
1671120615.3470583,409,1671120615,345368269,,[]
1671120615.5471778,410,1671120615,545414674,,[]
1671120615.747185,411,1671120615,745416237,,[]
1671120615.9470568,412,1671120615,945369581,,[]
1671120616.1471775,413,1671120616,145417356,,[]
1671120616.3471584,414,1671120616,345418443,,[]
1671120616.5471532,415,1671120616,545416653,,[]
1671120616.747192,416,1671120616,745416812,,[]
1671120616.9471605,417,1671120616,945416251,,[]
1671120617.1471713,418,1671120617,145417559,,[]
1671120617.3471355,419,1671120617,345415979,,[]
1671120617.5471327,420,1671120617,545416860,,[]
1671120617.7471166,421,1671120617,745417186,,[]
1671120617.9471488,422,1671120617,945417020,,[]
1671120618.1470685,423,1671120618,145415754,,[]
1671120618.3471332,424,1671120618,345418760,,[]
1671120618.5470715,425,1671120618,545417239,,[]
1671120618.747162,426,1671120618,745415040,,[]
1671120618.9471023,427,1671120618,945414275,,[]
1671120619.1471326,428,1671120619,145415977,,[]
1671120619.3471289,429,1671120619,345414672,,[]
1671120619.547176,430,1671120619,545416361,,[]
