Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.8937802,4972,1671120606,802383470,,[]
1671120607.002482,4973,1671120607,2351317,,[]
1671120607.2024508,4974,1671120607,202383884,,[]
1671120607.4024417,4975,1671120607,402354908,,[]
1671120607.6024394,4976,1671120607,602357541,,[]
1671120607.802426,4977,1671120607,802362379,,[]
1671120608.0024896,4978,1671120608,2362324,,[]
1671120608.202518,4979,1671120608,202398804,,[]
1671120608.4024394,4980,1671120608,402363823,,[]
1671120608.602438,4981,1671120608,602357508,,[]
1671120608.8024533,4982,1671120608,802362656,,[]
1671120609.0024474,4983,1671120609,2354574,,[]
1671120609.2024736,4984,1671120609,202360123,,[]
1671120609.4024704,4985,1671120609,402352132,,[]
1671120609.602449,4986,1671120609,602369175,,[]
1671120609.80244,4987,1671120609,802357008,,[]
1671120610.0024319,4988,1671120610,2354320,,[]
1671120610.2024424,4989,1671120610,202352639,,[]
1671120610.4024339,4990,1671120610,402355899,,[]
1671120610.6024694,4991,1671120610,602357026,,[]
1671120610.8024344,4992,1671120610,802359976,,[]
1671120611.0024524,4993,1671120611,2357061,,[]
1671120611.2024333,4994,1671120611,202356651,,[]
1671120611.4024572,4995,1671120611,402355452,,[]
1671120611.6024463,4996,1671120611,602355055,,[]
1671120611.802419,4997,1671120611,802349781,,[]
1671120612.0024529,4998,1671120612,2359066,,[]
1671120612.202454,4999,1671120612,202374225,,[]
1671120612.402451,5000,1671120612,402367210,,[]
1671120612.6024477,5001,1671120612,602358770,,[]
1671120612.802441,5002,1671120612,802356113,,[]
1671120613.0024478,5003,1671120613,2357927,,[]
1671120613.2024407,5004,1671120613,202356440,,[]
1671120613.4024343,5005,1671120613,402353300,,[]
1671120613.6024625,5006,1671120613,602372010,,[]
1671120613.802466,5007,1671120613,802353306,,[]
1671120614.0024354,5008,1671120614,2357820,,[]
1671120614.202432,5009,1671120614,202362096,,[]
1671120614.4024618,5010,1671120614,402380530,,[]
1671120614.602452,5011,1671120614,602375917,,[]
1671120614.802464,5012,1671120614,802381122,,[]
1671120615.0024302,5013,1671120615,2354414,,[]
1671120615.2024522,5014,1671120615,202358716,,[]
1671120615.4024413,5015,1671120615,402356091,,[]
1671120615.602435,5016,1671120615,602357414,,[]
1671120615.8024418,5017,1671120615,802364510,,[]
1671120616.0024333,5018,1671120616,2355695,,[]
1671120616.2024372,5019,1671120616,202359050,,[]
1671120616.4024372,5020,1671120616,402359224,,[]
1671120616.6024296,5021,1671120616,602355689,,[]
1671120616.8024642,5022,1671120616,802383412,,[]
1671120617.0024397,5023,1671120617,2355278,,[]
1671120617.2024395,5024,1671120617,202356410,,[]
1671120617.4024258,5025,1671120617,402352420,,[]
1671120617.6024294,5026,1671120617,602319026,,[]
1671120617.8024685,5027,1671120617,802380838,,[]
1671120618.002429,5028,1671120618,2358471,,[]
1671120618.2024212,5029,1671120618,202351573,,[]
1671120618.4024622,5030,1671120618,402373208,,[]
1671120618.6024356,5031,1671120618,602355662,,[]
1671120618.8024533,5032,1671120618,802359603,,[]
1671120619.0024333,5033,1671120619,2353706,,[]
1671120619.202467,5034,1671120619,202387396,,[]
1671120619.4024532,5035,1671120619,402354411,,[]
1671120619.6024508,5036,1671120619,602361101,,[]
