Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.8842685,4969,1671120606,293167747,,[]
1671120606.884391,4970,1671120606,493184869,,[]
1671120606.8845842,4971,1671120606,693163324,,[]
1671120606.8932567,4972,1671120606,893166097,,[]
1671120607.09325,4973,1671120607,93170912,,[]
1671120607.293248,4974,1671120607,293164863,,[]
1671120607.493296,4975,1671120607,493159366,,[]
1671120607.6932251,4976,1671120607,693156182,,[]
1671120607.893265,4977,1671120607,893160276,,[]
1671120608.0933018,4978,1671120608,93180472,,[]
1671120608.293285,4979,1671120608,293167560,,[]
1671120608.4932528,4980,1671120608,493166798,,[]
1671120608.6932654,4981,1671120608,693168353,,[]
1671120608.8932524,4982,1671120608,893163325,,[]
1671120609.0932524,4983,1671120609,93174606,,[]
1671120609.2932248,4984,1671120609,293158913,,[]
1671120609.493243,4985,1671120609,493161678,,[]
1671120609.6932795,4986,1671120609,693162383,,[]
1671120609.8932495,4987,1671120609,893162456,,[]
1671120610.0932448,4988,1671120610,93176958,,[]
1671120610.2932699,4989,1671120610,293171123,,[]
1671120610.4932687,4990,1671120610,493192176,,[]
1671120610.6933033,4991,1671120610,693184042,,[]
1671120610.8932273,4992,1671120610,893156721,,[]
1671120611.0932555,4993,1671120611,93162743,,[]
1671120611.2932422,4994,1671120611,293163287,,[]
1671120611.493288,4995,1671120611,493169477,,[]
1671120611.693261,4996,1671120611,693156642,,[]
1671120611.8932745,4997,1671120611,893162211,,[]
1671120612.0932953,4998,1671120612,93206414,,[]
1671120612.293268,4999,1671120612,293159998,,[]
1671120612.493276,5000,1671120612,493159061,,[]
1671120612.6932366,5001,1671120612,693158161,,[]
1671120612.893251,5002,1671120612,893161673,,[]
1671120613.0932448,5003,1671120613,93164029,,[]
1671120613.293226,5004,1671120613,293156299,,[]
1671120613.4932508,5005,1671120613,493165482,,[]
1671120613.6932752,5006,1671120613,693189212,,[]
1671120613.8932407,5007,1671120613,893160926,,[]
1671120614.0932662,5008,1671120614,93179515,,[]
1671120614.2933,5009,1671120614,293202205,,[]
1671120614.4933183,5010,1671120614,493210152,,[]
1671120614.6932926,5011,1671120614,693194577,,[]
1671120614.8932188,5012,1671120614,893156601,,[]
1671120615.0933318,5013,1671120615,93223785,,[]
1671120615.293274,5014,1671120615,293185525,,[]
1671120615.4933207,5015,1671120615,493204242,,[]
1671120615.693277,5016,1671120615,693183745,,[]
1671120615.8932807,5017,1671120615,893158062,,[]
1671120616.0933,5018,1671120616,93184046,,[]
1671120616.2933025,5019,1671120616,293189066,,[]
1671120616.493268,5020,1671120616,493181768,,[]
1671120616.6933014,5021,1671120616,693185910,,[]
1671120616.8932588,5022,1671120616,893181692,,[]
1671120617.093266,5023,1671120617,93186223,,[]
1671120617.2932432,5024,1671120617,293158722,,[]
1671120617.4933043,5025,1671120617,493183500,,[]
1671120617.6932452,5026,1671120617,693165686,,[]
1671120617.8932295,5027,1671120617,893160690,,[]
1671120618.0932806,5028,1671120618,93202272,,[]
1671120618.2932591,5029,1671120618,293160159,,[]
1671120618.4933443,5030,1671120618,493215029,,[]
1671120618.6932473,5031,1671120618,693176182,,[]
1671120618.893317,5032,1671120618,893189785,,[]
1671120619.09329,5033,1671120619,93199172,,[]
1671120619.2933218,5034,1671120619,293180666,,[]
1671120619.493332,5035,1671120619,493211462,,[]
