Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.8842692,4969,1671120606,367694882,,[]
1671120606.8844843,4970,1671120606,567748206,,[]
1671120606.8846893,4971,1671120606,767730098,,[]
1671120606.9677982,4972,1671120606,967700513,,[]
1671120607.167809,4973,1671120607,167712508,,[]
1671120607.3678544,4974,1671120607,367718899,,[]
1671120607.5678523,4975,1671120607,567734070,,[]
1671120607.7678087,4976,1671120607,767699687,,[]
1671120607.9678092,4977,1671120607,967700036,,[]
1671120608.1678498,4978,1671120608,167725158,,[]
1671120608.3678317,4979,1671120608,367711664,,[]
1671120608.5679066,4980,1671120608,567730288,,[]
1671120608.7678235,4981,1671120608,767691203,,[]
1671120608.9678128,4982,1671120608,967713195,,[]
1671120609.1677604,4983,1671120609,167690392,,[]
1671120609.3678656,4984,1671120609,367725359,,[]
1671120609.5678322,4985,1671120609,567746089,,[]
1671120609.7678204,4986,1671120609,767709656,,[]
1671120609.9677997,4987,1671120609,967707385,,[]
1671120610.1678958,4988,1671120610,167731869,,[]
1671120610.3677888,4989,1671120610,367709831,,[]
1671120610.5678499,4990,1671120610,567734708,,[]
1671120610.767883,4991,1671120610,767756974,,[]
1671120610.9678304,4992,1671120610,967728976,,[]
1671120611.167784,4993,1671120611,167693537,,[]
1671120611.367797,4994,1671120611,367713128,,[]
1671120611.567848,4995,1671120611,567708155,,[]
1671120611.767853,4996,1671120611,767700152,,[]
1671120611.9678454,4997,1671120611,967716707,,[]
1671120612.1678565,4998,1671120612,167738291,,[]
1671120612.3678637,4999,1671120612,367761399,,[]
1671120612.567905,5000,1671120612,567757598,,[]
1671120612.7678456,5001,1671120612,767738825,,[]
1671120612.9678066,5002,1671120612,967725119,,[]
1671120613.167823,5003,1671120613,167719119,,[]
1671120613.3679392,5004,1671120613,367739162,,[]
1671120613.5677862,5005,1671120613,567706307,,[]
1671120613.7678003,5006,1671120613,767715757,,[]
1671120613.9678264,5007,1671120613,967708063,,[]
1671120614.167876,5008,1671120614,167743831,,[]
1671120614.367848,5009,1671120614,367715482,,[]
1671120614.56782,5010,1671120614,567706347,,[]
1671120614.7677639,5011,1671120614,767686959,,[]
1671120614.9678698,5012,1671120614,967746476,,[]
1671120615.1678452,5013,1671120615,167736616,,[]
1671120615.3678334,5014,1671120615,367755946,,[]
1671120615.5677736,5015,1671120615,567689747,,[]
1671120615.7678604,5016,1671120615,767719214,,[]
1671120615.9677804,5017,1671120615,967687206,,[]
1671120616.167818,5018,1671120616,167709076,,[]
1671120616.3678231,5019,1671120616,367718723,,[]
1671120616.5678523,5020,1671120616,567727049,,[]
1671120616.767851,5021,1671120616,767758234,,[]
1671120616.9678414,5022,1671120616,967753970,,[]
1671120617.1677818,5023,1671120617,167689964,,[]
1671120617.3678012,5024,1671120617,367693421,,[]
1671120617.5677857,5025,1671120617,567708301,,[]
1671120617.7678108,5026,1671120617,767707114,,[]
1671120617.967861,5027,1671120617,967722098,,[]
1671120618.1678472,5028,1671120618,167712815,,[]
1671120618.367773,5029,1671120618,367694085,,[]
1671120618.5677974,5030,1671120618,567721789,,[]
1671120618.7677655,5031,1671120618,767690876,,[]
1671120618.9678617,5032,1671120618,967706479,,[]
1671120619.1677747,5033,1671120619,167696630,,[]
1671120619.3677557,5034,1671120619,367687794,,[]
1671120619.5677776,5035,1671120619,567696441,,[]
