Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1671120606.8845265,8439,1671120606,600499056,,2,/record_1671120605490186561,Subscribing to /move_group/plan_execution/parameter_updates,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.884533,8440,1671120606,619363442,,2,/record_1671120605490186561,Subscribing to /move_group/planning_scene_monitor/parameter_descriptions,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.884545,8441,1671120606,638024731,,2,/record_1671120605490186561,Subscribing to /rviz_edoardo_xps_13_9310_86526_3159498084324357413/motionplanning_planning_scene_monitor/parameter_updates,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8845544,8442,1671120606,654579322,,2,/record_1671120605490186561,Subscribing to /move_group/planning_pipelines/ompl/ompl/parameter_descriptions,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8845634,8443,1671120606,674220893,,2,/record_1671120605490186561,Subscribing to /execute_trajectory/feedback,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8845885,8444,1671120606,694047080,,2,/record_1671120605490186561,Subscribing to /move_group/status,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8846145,8445,1671120606,714580845,,2,/record_1671120605490186561,Subscribing to /planning_scene,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.884638,8446,1671120606,733903484,,2,/record_1671120605490186561,Subscribing to /pickup/cancel,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8846684,8447,1671120606,754955475,,2,/record_1671120605490186561,Subscribing to /place/goal,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8846936,8448,1671120606,772130158,,2,/record_1671120605490186561,Subscribing to /move_group/display_contacts,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8847172,8449,1671120606,790521209,,2,/record_1671120605490186561,Subscribing to /rviz_edoardo_xps_13_9310_86526_3159498084324357413/motionplanning_planning_scene_monitor/parameter_descriptions,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8847394,8450,1671120606,809079779,,2,/record_1671120605490186561,Subscribing to /place/cancel,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8847432,8451,1671120606,825796411,,2,/record_1671120605490186561,Subscribing to /move_group/fake_controller_joint_states,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.884757,8452,1671120606,844397686,,2,/record_1671120605490186561,Subscribing to /move_group/display_grasp_markers,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1671120606.8847647,8453,1671120606,863505884,,2,/record_1671120605490186561,Subscribing to /sequence_move_group/result,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
