Time,server_id,seq_num,type,markers,poses,erases
1671120606.8845153,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120607.05871,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120607.570147,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120608.0826054,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120608.562213,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120609.0747309,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120609.5543764,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120610.066045,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120610.5788217,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120611.0584428,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120611.5704641,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120612.0826735,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120612.5628712,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120613.0742223,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120613.5543735,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120614.0663664,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120614.5788457,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120615.0579495,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120615.5703084,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120616.0828059,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120616.5624785,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120617.0739152,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120617.5545514,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120618.0659716,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120618.5783825,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120619.0580487,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
1671120619.5722373,/rviz_edoardo_xps_13_9310_86526_3159498084324357413,0,0,[],[],[]
