Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status_list
1671120606.883813,4965,1671120605,677992364,,[]
1671120606.8839183,4966,1671120605,877932518,,[]
1671120606.8839674,4967,1671120606,77968765,,[]
1671120606.8841014,4968,1671120606,277990011,,[]
1671120606.8843658,4969,1671120606,477936591,,[]
1671120606.8845737,4970,1671120606,677918015,,[]
1671120606.8847764,4971,1671120606,877918714,,[]
1671120607.0780573,4972,1671120607,77956054,,[]
1671120607.278011,4973,1671120607,277927695,,[]
1671120607.4780293,4974,1671120607,477914498,,[]
1671120607.6780334,4975,1671120607,677961652,,[]
1671120607.8780124,4976,1671120607,877931733,,[]
1671120608.0780592,4977,1671120608,77960640,,[]
1671120608.2780287,4978,1671120608,277927863,,[]
1671120608.4780374,4979,1671120608,477944065,,[]
1671120608.6780233,4980,1671120608,677939544,,[]
1671120608.8779783,4981,1671120608,877913537,,[]
1671120609.0780127,4982,1671120609,77936350,,[]
1671120609.2780561,4983,1671120609,277944513,,[]
1671120609.4780087,4984,1671120609,477932304,,[]
1671120609.6780329,4985,1671120609,677947533,,[]
1671120609.878001,4986,1671120609,877910744,,[]
1671120610.0780702,4987,1671120610,77988585,,[]
1671120610.2780125,4988,1671120610,277941982,,[]
1671120610.4779751,4989,1671120610,477907722,,[]
1671120610.6780882,4990,1671120610,677939671,,[]
1671120610.8780124,4991,1671120610,877937940,,[]
1671120611.0780437,4992,1671120611,77959929,,[]
1671120611.2779822,4993,1671120611,277912464,,[]
1671120611.4779985,4994,1671120611,477911313,,[]
1671120611.6780615,4995,1671120611,677960806,,[]
1671120611.8779836,4996,1671120611,877912186,,[]
1671120612.0779836,4997,1671120612,77909362,,[]
1671120612.2780135,4998,1671120612,277915436,,[]
1671120612.477991,4999,1671120612,477909959,,[]
1671120612.6779945,5000,1671120612,677925362,,[]
1671120612.8779907,5001,1671120612,877924279,,[]
1671120613.0779965,5002,1671120613,77919720,,[]
1671120613.2780015,5003,1671120613,277917745,,[]
1671120613.4779985,5004,1671120613,477921098,,[]
1671120613.6779938,5005,1671120613,677909624,,[]
1671120613.8779821,5006,1671120613,877913902,,[]
1671120614.077982,5007,1671120614,77911726,,[]
1671120614.2780435,5008,1671120614,277932422,,[]
1671120614.4779973,5009,1671120614,477928110,,[]
1671120614.6780055,5010,1671120614,677925527,,[]
1671120614.877984,5011,1671120614,877911415,,[]
1671120615.0779798,5012,1671120615,77908022,,[]
1671120615.2779844,5013,1671120615,277909787,,[]
1671120615.478035,5014,1671120615,477932982,,[]
1671120615.6779852,5015,1671120615,677910466,,[]
1671120615.8779871,5016,1671120615,877913650,,[]
1671120616.07798,5017,1671120616,77910099,,[]
1671120616.2780201,5018,1671120616,277918926,,[]
1671120616.4779887,5019,1671120616,477912076,,[]
1671120616.6779919,5020,1671120616,677913059,,[]
1671120616.8779767,5021,1671120616,877909119,,[]
1671120617.0779998,5022,1671120617,77909936,,[]
1671120617.2780228,5023,1671120617,277909358,,[]
1671120617.477986,5024,1671120617,477910277,,[]
1671120617.6779838,5025,1671120617,677909472,,[]
1671120617.8779902,5026,1671120617,877917985,,[]
1671120618.0779927,5027,1671120618,77911905,,[]
1671120618.277995,5028,1671120618,277909713,,[]
1671120618.4779816,5029,1671120618,477913987,,[]
1671120618.6780045,5030,1671120618,677917506,,[]
1671120618.878018,5031,1671120618,877911163,,[]
1671120619.0779812,5032,1671120619,77912044,,[]
1671120619.2779825,5033,1671120619,277910214,,[]
1671120619.4780314,5034,1671120619,477931812,,[]
